# time(s) volume
0.3947 0.1945
0.6037 0.1082
0.8127 0.0795
0.9985 0.1302
1.1842 0.1782
1.3932 0.1675
1.6022 0.1457
1.8112 0.0979
2.0201 0.0796
2.2291 0.0710
2.4381 0.0646
2.6471 0.0577
2.8561 0.0535
3.0650 0.0377
3.2740 0.1608
3.4830 0.1312
3.6920 0.1115
3.9010 0.1064
4.1099 0.1543
4.3189 0.1376
4.5279 0.1874
4.7369 0.1316
4.9459 0.0919
5.1548 0.0686
5.3638 0.0513
5.5728 0.0346
5.7818 0.0272
5.9907 0.0204
6.1997 0.0086
6.4087 0.1585
6.6177 0.0974
6.8267 0.0799
7.0356 0.1147
7.2446 0.1197
7.4536 0.1726
7.6626 0.1207
7.8716 0.0941
8.0805 0.0842
8.2895 0.0739
8.4985 0.0664
8.7075 0.0597
8.9165 0.0521
9.1254 0.1508
9.3344 0.1716
9.5666 0.1189
9.7756 0.0969
9.9846 0.1116
10.1936 0.1453
10.4025 0.1644
10.6115 0.1262
10.8205 0.0868
11.0295 0.0662
11.2385 0.1581
11.4474 0.1342
11.6564 0.1601
11.8654 0.1536
12.0744 0.1550
12.2601 0.2100
12.4691 0.1425
12.6549 0.1381
12.8639 0.1652
13.0728 0.1822
13.2818 0.1561
13.4908 0.1551
13.6998 0.1467
13.9088 0.1629
14.1177 0.1810
14.3267 0.1532
14.5357 0.1609
14.7447 0.1395
14.9537 0.1027
15.1626 0.1664
15.3716 0.1742
15.5806 0.1475
15.7896 0.1547
15.9985 0.1878
16.2075 0.1728
16.4165 0.1825
16.6255 0.1702
16.8345 0.1469
17.0434 0.1406
17.2524 0.1363
17.4614 0.2150
17.6704 0.1675
17.8794 0.1645
18.0883 0.1547
18.3205 0.1648
18.5295 0.1431
18.7385 0.1524
18.9475 0.1989
19.1565 0.1653
19.3654 0.1725
19.5744 0.1541
19.7834 0.1615
19.9924 0.1513
20.2014 0.1261
20.4103 0.2016
20.6193 0.1404
20.8283 0.1143
21.0373 0.1473
21.2463 0.1766
21.4552 0.1258
21.6642 0.1405
21.8732 0.1764
22.0822 0.1846
22.2912 0.1902
22.5001 0.1751
22.7091 0.1487
22.9181 0.1554
23.1503 0.1447
23.3593 0.1618
23.5683 0.1798
23.7772 0.2000
23.9862 0.1792
24.1952 0.1823
24.4274 0.1237
24.6364 0.1582
24.8454 0.1662
25.0543 0.1417
25.2633 0.1987
25.4723 0.1592
25.7045 0.1306
25.9135 0.1667
26.1224 0.1444
26.3314 0.1687
26.5404 0.1682
26.7494 0.1199
26.9584 0.1582
27.1673 0.1733
27.3763 0.1732
27.5853 0.1563
27.7943 0.1941
28.0033 0.1917
28.2122 0.2185
28.4212 0.1918
28.6302 0.1595
28.8392 0.1554
29.0482 0.1422
29.2804 0.1853
29.4893 0.1678
29.6983 0.1924
29.9073 0.2012
30.1163 0.1769
30.3253 0.1071
30.5342 0.1248
30.7432 0.1466
30.9522 0.1607
31.1612 0.1788
31.3702 0.1598
31.5791 0.1547
31.7881 0.1479
31.9971 0.1914
32.2061 0.1336
32.4151 0.1773
32.6240 0.1312
32.8330 0.1746
33.0420 0.1797
33.2510 0.1411
