# time(s) volume
1.1610 0.0801
1.5557 0.0583
1.9505 0.0792
2.3452 0.0586
2.7400 0.0699
3.1347 0.0359
3.5294 0.0708
3.9242 0.0362
4.3189 0.0607
4.7137 0.0227
5.0852 0.0603
5.5031 0.0614
5.8979 0.0857
6.2926 0.0450
6.6873 0.0739
7.0821 0.0651
7.4768 0.0609
7.8716 0.0276
8.2663 0.0677
8.6610 0.0521
9.0558 0.0748
9.4505 0.0421
9.8453 0.0835
10.2400 0.0536
10.6347 0.0675
11.0295 0.0354
11.4242 0.0662
11.8190 0.0555
12.2137 0.0672
12.6084 0.0326
13.0032 0.2488
13.3979 0.2237
13.7927 0.2701
14.1874 0.1652
14.5821 0.0851
15.0001 0.2161
15.3948 0.2755
15.7896 0.1591
16.1611 0.1657
16.5790 0.1321
16.9738 0.2531
17.3685 0.0984
17.7400 0.0876
18.1580 0.2559
18.5527 0.2611
18.9475 0.1493
19.3422 0.1265
19.7370 0.1314
20.1317 0.2531
20.5264 0.1181
20.9212 0.1351
21.3159 0.2113
21.7107 0.2407
22.1054 0.1490
22.5001 0.1453
22.8949 0.0938
23.2896 0.2446
23.6844 0.0968
24.0791 0.1646
24.4738 0.2551
24.8686 0.2674
25.2633 0.1911
25.6580 0.1761
26.0528 0.2417
26.4475 0.2761
26.8423 0.1408
27.2370 0.1901
27.6317 0.2850
28.0265 0.2644
28.4212 0.1480
28.7927 0.2007
29.2107 0.1187
29.6054 0.2446
30.0002 0.1505
30.3949 0.1939
30.7897 0.2551
31.1844 0.2619
31.5791 0.1504
31.9739 0.1898
32.3686 0.0982
32.7634 0.2458
33.1581 0.1478
33.5528 0.1829
33.9476 0.2537
34.3423 0.2363
34.7371 0.1477
35.1318 0.2062
35.5265 0.1309
35.9213 0.2167
36.3160 0.1475
36.7107 0.2162
37.1055 0.2463
37.5002 0.2635
37.8950 0.1248
38.2897 0.2535
38.6844 0.2369
39.0792 0.2810
39.4971 0.1547
39.8919 0.1893
40.2866 0.2280
40.6814 0.2019
41.0761 0.1278
41.4708 0.1931
41.8656 0.1477
42.2603 0.2580
42.6551 0.1279
43.0498 0.1800
43.4445 0.2715
43.8393 0.2760
44.2340 0.1921
44.6288 0.1792
45.0235 0.1271
45.4182 0.2498
45.8130 0.1515
46.2077 0.2053
46.6024 0.2423
46.9972 0.2658
47.3919 0.1718
47.7867 0.2106
48.1814 0.1559
48.5761 0.2585
48.9709 0.1934
49.3656 0.2693
49.7604 0.1497
50.1551 0.2492
50.5498 0.2303
50.9446 0.1457
51.3393 0.2540
51.7341 0.3080
52.1288 0.1784
52.5235 0.1931
52.9183 0.2607
53.3130 0.2999
53.7310 0.1984
54.1257 0.2415
54.5205 0.1828
54.9152 0.2823
55.3099 0.1732
55.7047 0.2053
56.0994 0.3074
56.4941 0.2948
56.8889 0.2292
57.2836 0.2383
57.6784 0.2125
58.0731 0.3007
58.4678 0.2292
58.8626 0.2154
59.2573 0.2657
59.6521 0.2939
60.0468 0.2062
60.4415 0.2484
60.8363 0.1983
61.2310 0.3144
61.6258 0.1953
62.0205 0.2369
62.4152 0.2903
62.8100 0.2438
63.2047 0.1810
63.5995 0.2155
63.9942 0.2073
64.3889 0.3016
64.7837 0.1683
65.1784 0.2039
65.5732 0.2752
65.9679 0.2828
66.3626 0.1832
66.7574 0.2292
67.1521 0.1940
67.5468 0.2837
67.9416 0.1742
68.3363 0.1970
68.7311 0.2892
69.1258 0.2890
69.5205 0.1810
69.9153 0.2245
70.3332 0.2205
70.7280 0.2885
71.1227 0.2212
71.5175 0.2135
71.9122 0.2919
72.3069 0.2791
72.7017 0.2211
